,lat,city,temp_max,humidity,wind,cloudiness,Date,country
334,-7.75,gondanglegi,83.33,50.0,10.56,69.0,1567476312.0,ID
335,,saryshagan,,,,,,
336,,karaul,,,,,,
337,21.43,mecca,78.65,79.0,3.47,100.0,1567476328.0,SA
338,55.46,haradok,56.15,94.0,1.32,9.0,1567476333.0,BY
339,-13.19,ambilobe,69.65,71.0,4.94,54.0,1567476136.0,MG
340,,kamenskoye,,,,,,
341,18.62,coahuayana,73.79,90.0,3.4,81.0,1567476079.0,MX
342,-4.85,mweka,70.37,85.0,1.95,67.0,1567476353.0,CD
343,52.98,quesnel,77.0,36.0,3.36,1.0,1567476171.0,CA
344,,hebertville,,,,,,
345,-23.68,porto novo,64.4,82.0,3.36,75.0,1567476369.0,BR
346,65.28,norman wells,51.8,81.0,4.7,75.0,1567476374.0,CA
347,-4.33,ilebo,71.45,90.0,1.48,99.0,1567476379.0,CD
348,62.53,omsukchan,51.11,31.0,2.62,100.0,1567476385.0,RU
349,-14.9,antalaha,60.65,97.0,3.8,21.0,1567476152.0,MG
350,70.07,vadso,57.2,82.0,26.4,37.0,1567476395.0,NO
351,-2.54,urucara,82.79,54.0,1.77,99.0,1567476234.0,BR
352,49.15,shubarkuduk,51.65,67.0,7.65,0.0,1567476405.0,KZ
353,35.51,karpathos,75.2,78.0,21.92,0.0,1567476410.0,GR
354,21.39,kailua,89.6,40.0,16.11,75.0,1567476416.0,US
355,55.36,tolmachevo,61.0,87.0,4.47,4.0,1567476421.0,RU
356,48.58,kapustin yar,59.21,93.0,5.14,52.0,1567476426.0,RU
357,-45.41,te anau,47.69,68.0,2.17,7.0,1567476431.0,NZ
358,32.12,benghazi,79.19,50.0,5.44,0.0,1567476437.0,LY
359,10.62,kampot,78.8,88.0,18.34,75.0,1567476442.0,KH
360,46.12,saint-georges,61.0,96.0,4.0,92.0,1567476447.0,CA
361,54.01,balagansk,60.11,82.0,7.47,100.0,1567476452.0,RU
362,38.32,goose creek,78.8,83.0,4.36,1.0,1567476457.0,US
363,23.99,constitucion,61.0,93.0,4.7,90.0,1567476463.0,MX
364,,katsiveli,,,,,,
365,-22.95,walvis bay,53.01,93.0,1.01,0.0,1567476473.0,NA
366,,grand river south east,,,,,,
367,-18.5,coxim,77.57,51.0,3.58,44.0,1567476483.0,BR
368,25.45,arteaga,81.0,38.0,11.41,5.0,1567476489.0,MX
369,43.97,saint anthony,86.0,17.0,14.99,1.0,1567476494.0,US
370,30.37,pascagoula,84.2,74.0,4.79,1.0,1567476499.0,US
371,45.88,nago,73.4,77.0,6.93,40.0,1567476504.0,IT
372,,tres lagoas,,,,,,
373,69.49,talnakh,42.8,87.0,8.95,75.0,1567476515.0,RU
374,38.43,marand,64.4,59.0,2.24,20.0,1567476520.0,IR
